839550257646063616|Mar|Wed
839545966785150977|Mar|Wed
839560151468232705|Mar|Wed
839591437201256448|Mar|Wed
839591167951941632|Mar|Wed
839587131794288647|Mar|Wed
839586841548341248|Mar|Wed
839611572364447744|Mar|Wed
839611302431481857|Mar|Wed
839606677007564800|Mar|Wed
839626413447790592|Mar|Wed
839624256833142786|Mar|Wed
839621691919728648|Mar|Wed
839620317211463680|Mar|Wed
839619517542191112|Mar|Wed
839641657247162369|Mar|Thu
839640304911278080|Mar|Thu
839639879281700864|Mar|Thu
839638780944465920|Mar|Thu
839635611585695744|Mar|Thu
839634680320188416|Mar|Thu
839633295453274113|Mar|Thu
839656681625657345|Mar|Thu
839655724200431619|Mar|Thu
839654667764318208|Mar|Thu
839668702048038912|Mar|Thu
839666364675674112|Mar|Thu
839663156255301632|Mar|Thu
839686474756861952|Mar|Thu
839682369888083968|Mar|Thu
839678665038393344|Mar|Thu
839700487393853440|Mar|Thu
839698268669919237|Mar|Thu
839695200343715840|Mar|Thu
839722721604882432|Mar|Thu
839720695126859776|Mar|Thu
839798764579737601|Mar|Thu
839812413868412928|Mar|Thu
839843609226657792|Mar|Thu
839880616095203329|Mar|Thu
839893098041835521|Mar|Thu
839889107824238594|Mar|Thu
839910704102707200|Mar|Thu
839926362907492353|Mar|Thu
839924051837513729|Mar|Thu
839915333620215808|Mar|Thu
839935612102848512|Mar|Thu
839973878550085632|Mar|Thu
839971397266997249|Mar|Thu
839966336239407105|Mar|Thu
839965304759410688|Mar|Thu
839980984514871297|Mar|Thu
839997686187188228|Mar|Fri
839997313112236033|Mar|Fri
840018744558641152|Mar|Fri
840010633663913985|Mar|Fri
840008345281056769|Mar|Fri
840008045073702916|Mar|Fri
840034232932155392|Mar|Fri
840023833918623744|Mar|Fri
840041328788553728|Mar|Fri
840037518083031040|Mar|Fri
840052813149409280|Mar|Fri
840067095492616192|Mar|Fri
840085390807654400|Mar|Fri
840109721436659712|Mar|Fri
840095415626162176|Mar|Fri
840123585347776512|Mar|Fri
840120299077033984|Mar|Fri
840138950308065281|Mar|Fri
